itinerary_id,user_id,destination_id,destination_name,start_date,end_date,selected_flight,selected_hotel,status
I038,U030,D071,Cancun 071,2026-03-06,2026-03-11,F038,Hotel Cancun 071,created
I039,U039,D090,Vancouver 090,2026-02-06,2026-02-11,F039,Hotel Vancouver 090,created
I040,U041,D002,Paris,2026-05-23,2026-05-28,F040,Paris Centro Hotel,created
I041,U003,D004,Cusco,2026-01-29,2026-02-03,F041,Cusco Andes Lodge,created
I042,U064,D030,Vancouver 030,2026-04-27,2026-05-02,F042,Hotel Vancouver 030,created
I043,U009,D026,Los Cabos 026,2026-09-16,2026-09-21,F043,Hotel Los Cabos 026,created
I044,U098,D030,Vancouver 030,2026-05-16,2026-05-21,F044,Hotel Vancouver 030,created
I045,U117,D115,Madrid 115,2026-08-02,2026-08-07,F045,Hotel Madrid 115,created
I046,U091,D004,Cusco,2026-01-27,2026-02-01,F046,Cusco Andes Lodge,created
I047,U043,D094,Cusco 094,2026-03-26,2026-03-31,F047,Hotel Cusco 094,created
I048,U057,D040,Vancouver 040,2026-06-19,2026-06-24,F048,Hotel Vancouver 040,created
I049,U072,D011,Cancun 011,2026-03-05,2026-03-10,F049,Hotel Cancun 011,created
I050,U048,D012,Paris 012,2026-04-11,2026-04-16,F050,Hotel Paris 012,created
I051,U099,D004,Cusco,2026-11-17,2026-11-22,F051,Cusco Andes Lodge,created
I052,U096,D009,Bangkok 009,2026-04-10,2026-04-15,F052,Hotel Bangkok 009,created
I053,U119,D079,Bangkok 079,2026-06-12,2026-06-17,F053,Hotel Bangkok 079,created
I054,U092,D004,Cusco,2026-09-01,2026-09-06,F054,Cusco Andes Lodge,created
I055,U103,D017,Bariloche 017,2026-01-05,2026-01-10,F055,Hotel Bariloche 017,created
I056,U101,D111,Cancun 111,2026-07-05,2026-07-10,F056,Hotel Cancun 111,created
I057,U062,D032,Paris 032,2026-01-18,2026-01-23,F057,Hotel Paris 032,created
I058,U054,D034,Cusco 034,2026-02-19,2026-02-24,F058,Hotel Cusco 034,created
I059,U096,D054,Cusco 054,2026-05-01,2026-05-06,F059,Hotel Cusco 054,created
I060,U057,D048,Roma 048,2026-04-12,2026-04-17,F060,Hotel Roma 048,created
I061,U051,D037,Bariloche 037,2026-02-03,2026-02-08,F061,Hotel Bariloche 037,created
I062,U014,D084,Cusco 084,2026-01-19,2026-01-24,F062,Hotel Cusco 084,created
I063,U007,D006,Los Cabos,2026-03-03,2026-03-08,F063,Resort Mar Azul,created
I064,U082,D058,Roma 058,2026-02-24,2026-03-01,F064,Hotel Roma 058,created
I065,U005,D019,Bangkok 019,2026-05-11,2026-05-16,F065,Hotel Bangkok 019,created
I066,U005,D024,Cusco 024,2026-04-15,2026-04-20,F066,Hotel Cusco 024,created
I067,U082,D013,Tokio 013,2026-03-21,2026-03-26,F067,Hotel Tokio 013,created
I068,U040,D037,Bariloche 037,2026-01-27,2026-02-01,F068,Hotel Bariloche 037,created
I069,U027,D083,Tokio 083,2026-07-27,2026-08-01,F069,Hotel Tokio 083,created
I070,U114,D106,Los Cabos 106,2026-10-23,2026-10-28,F070,Hotel Los Cabos 106,created
I071,U074,D007,Bariloche 007,2026-02-15,2026-02-20,F071,Hotel Bariloche 007,created
I072,U119,D037,Bariloche 037,2026-03-29,2026-04-03,F072,Hotel Bariloche 037,created
I073,U041,D039,Bangkok 039,2026-09-05,2026-09-10,F073,Hotel Bangkok 039,created
I074,U079,D082,Paris 082,2026-07-27,2026-08-01,F074,Hotel Paris 082,created
I075,U050,D006,Los Cabos,2026-03-22,2026-03-27,F075,Resort Mar Azul,created
I076,U050,D006,Los Cabos,2026-03-02,2026-03-07,F076,Resort Mar Azul,created
I077,U065,D055,Madrid 055,2026-08-17,2026-08-22,F077,Hotel Madrid 055,created
I078,U100,D060,Vancouver 060,2026-11-13,2026-11-18,F078,Hotel Vancouver 060,created
I079,U047,D009,Bangkok 009,2026-08-09,2026-08-14,F079,Hotel Bangkok 009,created
I080,U100,D006,Los Cabos,2026-06-10,2026-06-15,F080,Resort Mar Azul,created
I081,U025,D004,Cusco,2026-02-26,2026-03-03,F081,Cusco Andes Lodge,created
I082,U021,D009,Bangkok 009,2026-05-10,2026-05-15,F082,Hotel Bangkok 009,created
I083,U034,D065,Madrid 065,2026-10-31,2026-11-05,F083,Hotel Madrid 065,created
I084,U120,D024,Cusco 024,2026-11-22,2026-11-27,F084,Hotel Cusco 024,created
I085,U072,D015,Madrid 015,2026-08-20,2026-08-25,F085,Hotel Madrid 015,created
I086,U019,D034,Cusco 034,2026-10-23,2026-10-28,F086,Hotel Cusco 034,created
I087,U033,D023,Tokio 023,2026-09-22,2026-09-27,F087,Hotel Tokio 023,created
I088,U056,D020,Vancouver 020,2026-11-17,2026-11-22,F088,Hotel Vancouver 020,created
I089,U003,D063,Tokio 063,2026-01-24,2026-01-29,F089,Hotel Tokio 063,created
I090,U053,D014,Cusco 014,2026-04-25,2026-04-30,F090,Hotel Cusco 014,created
I091,U091,D021,Cancun 021,2026-05-05,2026-05-10,F091,Hotel Cancun 021,created
I092,U002,D112,Paris 112,2026-05-16,2026-05-21,F092,Hotel Paris 112,created
I093,U116,D078,Roma 078,2026-03-26,2026-03-31,F093,Hotel Roma 078,created
I094,U008,D052,Paris 052,2026-03-23,2026-03-28,F094,Hotel Paris 052,created
I095,U078,D019,Bangkok 019,2026-09-23,2026-09-28,F095,Hotel Bangkok 019,created
I096,U001,D039,Bangkok 039,2026-10-03,2026-10-08,F096,Hotel Bangkok 039,created
I097,U030,D023,Tokio 023,2026-05-14,2026-05-19,F097,Hotel Tokio 023,created
I098,U038,D035,Madrid 035,2026-05-16,2026-05-21,F098,Hotel Madrid 035,created
I099,U096,D034,Cusco 034,2026-03-23,2026-03-28,F099,Hotel Cusco 034,created
I100,U090,D049,Bangkok 049,2026-09-29,2026-10-04,F100,Hotel Bangkok 049,created
I101,U075,D102,Paris 102,2026-11-15,2026-11-20,F101,Hotel Paris 102,created
I102,U045,D015,Madrid 015,2026-03-24,2026-03-29,F102,Hotel Madrid 015,created
I103,U009,D089,Bangkok 089,2026-01-24,2026-01-29,F103,Hotel Bangkok 089,created
I104,U015,D014,Cusco 014,2026-04-15,2026-04-20,F104,Hotel Cusco 014,created
I105,U027,D013,Tokio 013,2026-11-27,2026-12-02,F105,Hotel Tokio 013,created
I106,U007,D003,Tokio,2026-05-25,2026-05-30,F106,Tokio Garden Inn,created
I107,U101,D109,Bangkok 109,2026-01-16,2026-01-21,F107,Hotel Bangkok 109,created
I108,U073,D045,Madrid 045,2026-10-03,2026-10-08,F108,Hotel Madrid 045,created
I109,U037,D056,Los Cabos 056,2026-04-14,2026-04-19,F109,Hotel Los Cabos 056,created
I110,U045,D063,Tokio 063,2026-10-31,2026-11-05,F110,Hotel Tokio 063,created
I111,U099,D064,Cusco 064,2026-11-22,2026-11-27,F111,Hotel Cusco 064,created
I112,U115,D046,Los Cabos 046,2026-07-22,2026-07-27,F112,Hotel Los Cabos 046,created
I113,U065,D039,Bangkok 039,2026-10-07,2026-10-12,F113,Hotel Bangkok 039,created
I114,U042,D069,Bangkok 069,2026-10-25,2026-10-30,F114,Hotel Bangkok 069,created
I115,U030,D060,Vancouver 060,2026-10-24,2026-10-29,F115,Hotel Vancouver 060,created
I116,U093,D035,Madrid 035,2026-03-21,2026-03-26,F116,Hotel Madrid 035,created
I117,U034,D021,Cancun 021,2026-04-07,2026-04-12,F117,Hotel Cancun 021,created
I118,U056,D020,Vancouver 020,2026-06-02,2026-06-07,F118,Hotel Vancouver 020,created
I119,U002,D027,Bariloche 027,2026-01-18,2026-01-23,F119,Hotel Bariloche 027,created
I120,U078,D060,Vancouver 060,2026-05-12,2026-05-17,F120,Hotel Vancouver 060,created
I121,U087,D109,Bangkok 109,2026-04-28,2026-05-03,F121,Hotel Bangkok 109,created
I122,U101,D034,Cusco 034,2026-05-05,2026-05-10,F122,Hotel Cusco 034,created
I123,U067,D059,Bangkok 059,2026-07-29,2026-08-03,F123,Hotel Bangkok 059,created
I124,U070,D117,Bariloche 117,2026-05-09,2026-05-14,F124,Hotel Bariloche 117,created
I125,U092,D013,Tokio 013,2026-04-15,2026-04-20,F125,Hotel Tokio 013,created
I126,U051,D053,Tokio 053,2026-04-05,2026-04-10,F126,Hotel Tokio 053,created
I127,U010,D049,Bangkok 049,2026-01-07,2026-01-12,F127,Hotel Bangkok 049,created
I128,U068,D014,Cusco 014,2026-07-25,2026-07-30,F128,Hotel Cusco 014,created
I129,U083,D017,Bariloche 017,2026-08-29,2026-09-03,F129,Hotel Bariloche 017,created
I130,U101,D038,Roma 038,2026-07-01,2026-07-06,F130,Hotel Roma 038,created
I131,U104,D087,Bariloche 087,2026-01-02,2026-01-07,F131,Hotel Bariloche 087,created
I132,U082,D062,Paris 062,2026-11-16,2026-11-21,F132,Hotel Paris 062,created
I133,U101,D008,Roma 008,2026-06-16,2026-06-21,F133,Hotel Roma 008,created
I134,U084,D085,Madrid 085,2026-02-06,2026-02-11,F134,Hotel Madrid 085,created
I135,U045,D110,Vancouver 110,2026-08-20,2026-08-25,F135,Hotel Vancouver 110,created
I136,U108,D079,Bangkok 079,2026-11-22,2026-11-27,F136,Hotel Bangkok 079,created
I137,U016,D095,Madrid 095,2026-10-12,2026-10-17,F137,Hotel Madrid 095,created
I138,U116,D064,Cusco 064,2026-08-28,2026-09-02,F138,Hotel Cusco 064,created
I139,U060,D070,Vancouver 070,2026-06-14,2026-06-19,F139,Hotel Vancouver 070,created
I140,U047,D054,Cusco 054,2026-11-23,2026-11-28,F140,Hotel Cusco 054,created
I141,U063,D104,Cusco 104,2026-09-05,2026-09-10,F141,Hotel Cusco 104,created
I142,U061,D044,Cusco 044,2026-06-24,2026-06-29,F142,Hotel Cusco 044,created
I143,U046,D033,Tokio 033,2026-05-30,2026-06-04,F143,Hotel Tokio 033,created
I144,U102,D112,Paris 112,2026-09-10,2026-09-15,F144,Hotel Paris 112,created
I145,U093,D017,Bariloche 017,2026-07-24,2026-07-29,F145,Hotel Bariloche 017,created
I146,U025,D039,Bangkok 039,2026-01-24,2026-01-29,F146,Hotel Bangkok 039,created
I147,U028,D079,Bangkok 079,2026-02-12,2026-02-17,F147,Hotel Bangkok 079,created
I148,U118,D112,Paris 112,2026-02-21,2026-02-26,F148,Hotel Paris 112,created
I149,U005,D111,Cancun 111,2026-08-04,2026-08-09,F149,Hotel Cancun 111,created
I150,U074,D064,Cusco 064,2026-08-04,2026-08-09,F150,Hotel Cusco 064,created
I151,U071,D077,Bariloche 077,2026-07-31,2026-08-05,F151,Hotel Bariloche 077,created
I152,U002,D081,Cancun 081,2026-01-03,2026-01-08,F152,Hotel Cancun 081,created
I153,U032,D061,Cancun 061,2026-10-19,2026-10-24,F153,Hotel Cancun 061,created
I154,U072,D094,Cusco 094,2026-11-18,2026-11-23,F154,Hotel Cusco 094,created
I155,U011,D002,Paris,2026-11-13,2026-11-18,F155,Paris Centro Hotel,created
I156,U041,D111,Cancun 111,2026-01-31,2026-02-05,F156,Hotel Cancun 111,created
I157,U021,D103,Tokio 103,2026-11-27,2026-12-02,F157,Hotel Tokio 103,created
I158,U008,D101,Cancun 101,2026-05-24,2026-05-29,F158,Hotel Cancun 101,created
I159,U050,D075,Madrid 075,2026-07-12,2026-07-17,F159,Hotel Madrid 075,created
I160,U021,D042,Paris 042,2026-08-05,2026-08-10,F160,Hotel Paris 042,created
I161,U011,D036,Los Cabos 036,2026-10-01,2026-10-06,F161,Hotel Los Cabos 036,created
I162,U091,D078,Roma 078,2026-08-27,2026-09-01,F162,Hotel Roma 078,created
I163,U099,D059,Bangkok 059,2026-07-01,2026-07-06,F163,Hotel Bangkok 059,created
I164,U076,D114,Cusco 114,2026-09-17,2026-09-22,F164,Hotel Cusco 114,created
I165,U073,D024,Cusco 024,2026-10-23,2026-10-28,F165,Hotel Cusco 024,created
I166,U048,D006,Los Cabos,2026-02-24,2026-03-01,F166,Resort Mar Azul,created
I167,U003,D045,Madrid 045,2026-11-07,2026-11-12,F167,Hotel Madrid 045,created
I168,U055,D076,Los Cabos 076,2026-05-24,2026-05-29,F168,Hotel Los Cabos 076,created
I169,U024,D033,Tokio 033,2026-04-13,2026-04-18,F169,Hotel Tokio 033,created
I170,U109,D072,Paris 072,2026-09-07,2026-09-12,F170,Hotel Paris 072,created
I171,U051,D041,Cancun 041,2026-09-17,2026-09-22,F171,Hotel Cancun 041,created
I172,U033,D093,Tokio 093,2026-01-20,2026-01-25,F172,Hotel Tokio 093,created
I173,U019,D034,Cusco 034,2026-02-21,2026-02-26,F173,Hotel Cusco 034,created
I174,U048,D098,Roma 098,2026-06-15,2026-06-20,F174,Hotel Roma 098,created
I175,U104,D049,Bangkok 049,2026-05-03,2026-05-08,F175,Hotel Bangkok 049,created
I176,U111,D021,Cancun 021,2026-11-13,2026-11-18,F176,Hotel Cancun 021,created
I177,U044,D108,Roma 108,2026-08-20,2026-08-25,F177,Hotel Roma 108,created
I178,U024,D019,Bangkok 019,2026-01-30,2026-02-04,F178,Hotel Bangkok 019,created
I179,U004,D054,Cusco 054,2026-03-21,2026-03-26,F179,Hotel Cusco 054,created
I180,U116,D063,Tokio 063,2026-08-22,2026-08-27,F180,Hotel Tokio 063,created
