id_flight,airline,origin,destination_id,destination_name,departure_date,price,available_seats
F083,Viva,Guadalajara,D065,Madrid 065,2026-10-31,10468.849999999999,3
F084,Viva,Guadalajara,D024,Cusco 024,2026-11-22,10669.4,11
F085,Iberia,Guadalajara,D015,Madrid 015,2026-08-20,8930.949999999999,26
F086,Iberia,Guadalajara,D034,Cusco 034,2026-10-23,10738.349999999999,29
F087,Iberia,Guadalajara,D023,Tokio 023,2026-09-22,10321.15,3
F088,ANA,Guadalajara,D020,Vancouver 020,2026-11-17,14909.3,4
F089,ANA,Guadalajara,D063,Tokio 063,2026-01-24,3209.85,23
F090,ANA,Guadalajara,D014,Cusco 014,2026-04-25,6217.049999999999,24
F091,Aeromexico,Guadalajara,D021,Cancun 021,2026-05-05,13491.449999999999,5
F092,Air France,Guadalajara,D112,Paris 112,2026-05-16,11185.65,38
F093,Viva,Guadalajara,D078,Roma 078,2026-03-26,4159.05,35
F094,Viva,Guadalajara,D052,Paris 052,2026-03-23,3433.1499999999996,36
F095,Viva,Guadalajara,D019,Bangkok 019,2026-09-23,7155.75,20
F096,Air France,Guadalajara,D039,Bangkok 039,2026-10-03,13165.599999999999,6
F097,Aeromexico,Guadalajara,D023,Tokio 023,2026-05-14,5977.299999999999,17
F098,ANA,Guadalajara,D035,Madrid 035,2026-05-16,5109.299999999999,1
F099,Viva,Guadalajara,D034,Cusco 034,2026-03-23,7552.299999999999,22
F100,Air France,Guadalajara,D049,Bangkok 049,2026-09-29,3757.95,15
F101,Air France,Guadalajara,D102,Paris 102,2026-11-15,7084.7,3
F102,ANA,Guadalajara,D015,Madrid 015,2026-03-24,3809.0499999999997,3
F103,Aeromexico,Guadalajara,D089,Bangkok 089,2026-01-24,7721.7,5
F104,Viva,Guadalajara,D014,Cusco 014,2026-04-15,3939.6,19
F105,Aeromexico,Guadalajara,D013,Tokio 013,2026-11-27,10470.25,28
F106,Iberia,Guadalajara,D003,Tokio,2026-05-25,10508.75,33
F107,ANA,Guadalajara,D109,Bangkok 109,2026-01-16,3866.45,34
F108,Aeromexico,Guadalajara,D045,Madrid 045,2026-10-03,5234.599999999999,19
F109,ANA,Guadalajara,D056,Los Cabos 056,2026-04-14,3249.75,32
F110,Air France,Guadalajara,D063,Tokio 063,2026-10-31,6794.549999999999,14
F111,Aeromexico,Guadalajara,D064,Cusco 064,2026-11-22,14395.849999999999,7
F112,Air France,Guadalajara,D046,Los Cabos 046,2026-07-22,12832.4,24
F113,Air France,Guadalajara,D039,Bangkok 039,2026-10-07,11850.3,30
F114,Iberia,Guadalajara,D069,Bangkok 069,2026-10-25,13478.849999999999,21
F115,Iberia,Guadalajara,D060,Vancouver 060,2026-10-24,10812.199999999999,16
F116,ANA,Guadalajara,D035,Madrid 035,2026-03-21,8828.75,39
F117,Iberia,Guadalajara,D021,Cancun 021,2026-04-07,6925.45,13
F118,Iberia,Guadalajara,D020,Vancouver 020,2026-06-02,7649.95,7
F119,Air France,Guadalajara,D027,Bariloche 027,2026-01-18,13162.8,33
F120,Viva,Guadalajara,D060,Vancouver 060,2026-05-12,3276.35,28
F121,ANA,Guadalajara,D109,Bangkok 109,2026-04-28,5999.0,28
F122,Air France,Guadalajara,D034,Cusco 034,2026-05-05,6738.549999999999,28
F123,ANA,Guadalajara,D059,Bangkok 059,2026-07-29,10674.65,25
F124,Aeromexico,Guadalajara,D117,Bariloche 117,2026-05-09,6839.0,34
F125,ANA,Guadalajara,D013,Tokio 013,2026-04-15,14898.099999999999,24
F126,Viva,Guadalajara,D053,Tokio 053,2026-04-05,11303.599999999999,17
F127,Aeromexico,Guadalajara,D049,Bangkok 049,2026-01-07,12796.0,38
F128,Iberia,Guadalajara,D014,Cusco 014,2026-07-25,12140.449999999999,14
F129,Viva,Guadalajara,D017,Bariloche 017,2026-08-29,6504.75,27
F130,Air France,Guadalajara,D038,Roma 038,2026-07-01,9283.75,17
F131,Air France,Guadalajara,D087,Bariloche 087,2026-01-02,11361.0,20
F132,Air France,Guadalajara,D062,Paris 062,2026-11-16,11463.199999999999,20
F133,ANA,Guadalajara,D008,Roma 008,2026-06-16,15321.599999999999,38
F134,Viva,Guadalajara,D085,Madrid 085,2026-02-06,8884.75,7
F135,Viva,Guadalajara,D110,Vancouver 110,2026-08-20,7933.099999999999,35
F136,ANA,Guadalajara,D079,Bangkok 079,2026-11-22,7676.9,14
F137,Aeromexico,Guadalajara,D095,Madrid 095,2026-10-12,12761.699999999999,9
F138,Air France,Guadalajara,D064,Cusco 064,2026-08-28,14420.699999999999,32
F139,Viva,Guadalajara,D070,Vancouver 070,2026-06-14,9958.199999999999,24
F140,Viva,Guadalajara,D054,Cusco 054,2026-11-23,3621.45,3
F141,ANA,Guadalajara,D104,Cusco 104,2026-09-05,3927.35,27
F142,Iberia,Guadalajara,D044,Cusco 044,2026-06-24,9667.699999999999,22
F143,Iberia,Guadalajara,D033,Tokio 033,2026-05-30,12410.3,33
F144,Viva,Guadalajara,D112,Paris 112,2026-09-10,10739.75,21
F145,Aeromexico,Guadalajara,D017,Bariloche 017,2026-07-24,15660.05,4
F146,Aeromexico,Guadalajara,D039,Bangkok 039,2026-01-24,4529.349999999999,35
F147,ANA,Guadalajara,D079,Bangkok 079,2026-02-12,13652.449999999999,7
F148,Air France,Guadalajara,D112,Paris 112,2026-02-21,11610.9,20
F149,Viva,Guadalajara,D111,Cancun 111,2026-08-04,3617.6,37
F150,Aeromexico,Guadalajara,D064,Cusco 064,2026-08-04,13390.65,1
F151,Air France,Guadalajara,D077,Bariloche 077,2026-07-31,5051.9,14
F152,Air France,Guadalajara,D081,Cancun 081,2026-01-03,5171.599999999999,8
F153,Iberia,Guadalajara,D061,Cancun 061,2026-10-19,7448.7,24
F154,Iberia,Guadalajara,D094,Cusco 094,2026-11-18,13714.4,4
F155,Aeromexico,Guadalajara,D002,Paris,2026-11-13,10284.75,39
F156,ANA,Guadalajara,D111,Cancun 111,2026-01-31,13213.199999999999,11
F157,Iberia,Guadalajara,D103,Tokio 103,2026-11-27,14090.3,29
F158,Iberia,Guadalajara,D101,Cancun 101,2026-05-24,3505.25,39
F159,Viva,Guadalajara,D075,Madrid 075,2026-07-12,8525.3,19
F160,Iberia,Guadalajara,D042,Paris 042,2026-08-05,9767.8,37
F161,Iberia,Guadalajara,D036,Los Cabos 036,2026-10-01,11905.949999999999,15
F162,Air France,Guadalajara,D078,Roma 078,2026-08-27,8992.9,1
F163,ANA,Guadalajara,D059,Bangkok 059,2026-07-01,8491.35,38
F164,Air France,Guadalajara,D114,Cusco 114,2026-09-17,7488.599999999999,13
F165,Iberia,Guadalajara,D024,Cusco 024,2026-10-23,12381.949999999999,10
F166,Iberia,Guadalajara,D006,Los Cabos,2026-02-24,5024.599999999999,21
F167,ANA,Guadalajara,D045,Madrid 045,2026-11-07,3919.9999999999995,37
F168,Iberia,Guadalajara,D076,Los Cabos 076,2026-05-24,13399.75,39
F169,Iberia,Guadalajara,D033,Tokio 033,2026-04-13,5068.7,4
F170,Air France,Guadalajara,D072,Paris 072,2026-09-07,12265.05,6
F171,Aeromexico,Guadalajara,D041,Cancun 041,2026-09-17,13433.699999999999,24
F172,Viva,Guadalajara,D093,Tokio 093,2026-01-20,4509.4,2
F173,Aeromexico,Guadalajara,D034,Cusco 034,2026-02-21,3282.2999999999997,20
F174,Air France,Guadalajara,D098,Roma 098,2026-06-15,12096.699999999999,24
F175,Air France,Guadalajara,D049,Bangkok 049,2026-05-03,3439.1,13
F176,Aeromexico,Guadalajara,D021,Cancun 021,2026-11-13,6355.65,7
F177,Aeromexico,Guadalajara,D108,Roma 108,2026-08-20,8514.449999999999,8
F178,Viva,Guadalajara,D019,Bangkok 019,2026-01-30,6469.049999999999,10
F179,Viva,Guadalajara,D054,Cusco 054,2026-03-21,9951.9,11
F180,Iberia,Guadalajara,D063,Tokio 063,2026-08-22,5768.7,33
