hotel_name,date,room_type,price
Hotel Tokio 063,2026-08-24,suite,5447
Hotel Cusco 064,2026-10-01,standard,7251
Hotel Cusco 064,2026-11-17,doble,7207
Hotel Cusco 064,2026-03-21,suite,7318
Hotel Madrid 065,2026-07-25,standard,7027
Hotel Madrid 065,2026-11-08,doble,6677
Hotel Madrid 065,2026-02-11,suite,6873
Hotel Los Cabos 066,2026-01-31,standard,5118
Hotel Los Cabos 066,2026-06-19,doble,5001
Hotel Los Cabos 066,2026-06-02,suite,4956
Hotel Bariloche 067,2026-10-20,standard,3534
Hotel Bariloche 067,2026-07-08,doble,3595
Hotel Bariloche 067,2026-03-12,suite,3409
Hotel Roma 068,2026-06-25,standard,7140
Hotel Roma 068,2026-11-21,doble,6625
Hotel Roma 068,2026-04-07,suite,6824
Hotel Bangkok 069,2026-08-18,standard,7040
Hotel Bangkok 069,2026-02-13,doble,6483
Hotel Bangkok 069,2026-10-24,suite,6713
Hotel Vancouver 070,2026-10-12,standard,2938
Hotel Vancouver 070,2026-08-02,doble,2712
Hotel Vancouver 070,2026-09-29,suite,2590
Hotel Cancun 071,2026-10-17,standard,5786
Hotel Cancun 071,2026-07-22,doble,5602
Hotel Cancun 071,2026-02-28,suite,5567
Hotel Paris 072,2026-04-03,standard,3571
Hotel Paris 072,2026-04-14,doble,3141
Hotel Paris 072,2026-02-27,suite,2806
Hotel Tokio 073,2026-05-10,standard,4233
Hotel Tokio 073,2026-02-18,doble,3760
Hotel Tokio 073,2026-09-29,suite,4254
Hotel Cusco 074,2026-05-09,standard,6355
Hotel Cusco 074,2026-09-08,doble,5861
Hotel Cusco 074,2026-10-11,suite,6098
Hotel Madrid 075,2026-04-26,standard,4917
Hotel Madrid 075,2026-10-21,doble,5076
Hotel Madrid 075,2026-02-27,suite,5116
Hotel Los Cabos 076,2026-09-20,standard,2552
Hotel Los Cabos 076,2026-10-29,doble,2201
Hotel Los Cabos 076,2026-02-11,suite,2492
Hotel Bariloche 077,2026-07-28,standard,7361
Hotel Bariloche 077,2026-02-07,doble,7485
Hotel Bariloche 077,2026-08-14,suite,6803
Hotel Roma 078,2026-09-15,standard,6209
Hotel Roma 078,2026-09-17,doble,6377
Hotel Roma 078,2026-02-28,suite,6287
Hotel Bangkok 079,2026-09-21,standard,4417
Hotel Bangkok 079,2026-08-24,doble,5163
Hotel Bangkok 079,2026-07-20,suite,4870
Hotel Vancouver 080,2026-03-29,standard,6827
Hotel Vancouver 080,2026-04-09,doble,6412
Hotel Vancouver 080,2026-09-01,suite,6629
Hotel Cancun 081,2026-02-17,standard,6753
Hotel Cancun 081,2026-07-11,doble,7407
Hotel Cancun 081,2026-11-13,suite,6671
Hotel Paris 082,2026-07-27,standard,3603
Hotel Paris 082,2026-01-25,doble,3742
Hotel Paris 082,2026-01-22,suite,3376
Hotel Tokio 083,2026-11-01,standard,4015
Hotel Tokio 083,2026-04-20,doble,3507
Hotel Tokio 083,2026-06-03,suite,3160
Hotel Cusco 084,2026-03-11,standard,7824
Hotel Cusco 084,2026-02-14,doble,8024
Hotel Cusco 084,2026-04-14,suite,7964
Hotel Madrid 085,2026-02-28,standard,4627
Hotel Madrid 085,2026-07-01,doble,3860
Hotel Madrid 085,2026-07-07,suite,4451
Hotel Los Cabos 086,2026-06-24,standard,7896
Hotel Los Cabos 086,2026-01-06,doble,7918
Hotel Los Cabos 086,2026-05-11,suite,7198
Hotel Bariloche 087,2026-05-03,standard,5444
Hotel Bariloche 087,2026-09-20,doble,5817
Hotel Bariloche 087,2026-09-26,suite,6033
Hotel Roma 088,2026-07-02,standard,5126
Hotel Roma 088,2026-09-08,doble,4431
Hotel Roma 088,2026-11-06,suite,4748
Hotel Bangkok 089,2026-02-21,standard,3622
Hotel Bangkok 089,2026-10-09,doble,3593
Hotel Bangkok 089,2026-11-05,suite,3373
Hotel Vancouver 090,2026-01-18,standard,4021
Hotel Vancouver 090,2026-05-05,doble,3334
Hotel Vancouver 090,2026-07-01,suite,3271
Hotel Cancun 091,2026-08-17,standard,1436
Hotel Cancun 091,2026-10-25,doble,1865
Hotel Cancun 091,2026-02-28,suite,2225
Hotel Paris 092,2026-01-11,standard,4717
Hotel Paris 092,2026-02-26,doble,4293
Hotel Paris 092,2026-05-13,suite,4407
Hotel Tokio 093,2026-03-18,standard,7378
Hotel Tokio 093,2026-05-29,doble,7705
Hotel Tokio 093,2026-07-14,suite,7667
Hotel Cusco 094,2026-03-15,standard,7830
Hotel Cusco 094,2026-05-09,doble,7779
Hotel Cusco 094,2026-05-18,suite,8199
Hotel Madrid 095,2026-08-16,standard,2876
Hotel Madrid 095,2026-01-13,doble,3212
Hotel Madrid 095,2026-03-19,suite,3360
Hotel Los Cabos 096,2026-09-14,standard,4618
Hotel Los Cabos 096,2026-01-17,doble,4942
Hotel Los Cabos 096,2026-01-19,suite,4199
Hotel Bariloche 097,2026-04-04,standard,5829
Hotel Bariloche 097,2026-11-27,doble,5889
Hotel Bariloche 097,2026-11-04,suite,5595
Hotel Roma 098,2026-09-01,standard,8327
Hotel Roma 098,2026-03-23,doble,8046
Hotel Roma 098,2026-08-18,suite,7739
Hotel Bangkok 099,2026-04-28,standard,2518
Hotel Bangkok 099,2026-11-09,doble,2154
Hotel Bangkok 099,2026-02-08,suite,1994
Hotel Vancouver 100,2026-06-18,standard,7312
Hotel Vancouver 100,2026-04-21,doble,7090
Hotel Vancouver 100,2026-03-09,suite,7375
Hotel Cancun 101,2026-11-16,standard,5329
Hotel Cancun 101,2026-04-19,doble,5458
Hotel Cancun 101,2026-07-04,suite,6029
Hotel Paris 102,2026-08-28,standard,3016
Hotel Paris 102,2026-10-23,doble,3156
Hotel Paris 102,2026-07-18,suite,3636
Hotel Tokio 103,2026-07-01,standard,1896
Hotel Tokio 103,2026-01-04,doble,1918
Hotel Tokio 103,2026-10-24,suite,2070
Hotel Cusco 104,2026-06-20,standard,2473
Hotel Cusco 104,2026-01-11,doble,2495
Hotel Cusco 104,2026-08-24,suite,3138
Hotel Madrid 105,2026-11-08,standard,4999
Hotel Madrid 105,2026-11-20,doble,5102
Hotel Madrid 105,2026-03-15,suite,5232
Hotel Los Cabos 106,2026-07-16,standard,3407
Hotel Los Cabos 106,2026-02-02,doble,3640
Hotel Los Cabos 106,2026-05-15,suite,3493
Hotel Bariloche 107,2026-10-19,standard,4386
Hotel Bariloche 107,2026-09-28,doble,4397
Hotel Bariloche 107,2026-03-13,suite,4514
Hotel Roma 108,2026-01-18,standard,5007
Hotel Roma 108,2026-10-15,doble,4994
Hotel Roma 108,2026-02-18,suite,4963
Hotel Bangkok 109,2026-04-13,standard,3265
Hotel Bangkok 109,2026-08-07,doble,3121
Hotel Bangkok 109,2026-10-20,suite,3122
Hotel Vancouver 110,2026-02-20,standard,5524
Hotel Vancouver 110,2026-05-25,doble,5965
Hotel Vancouver 110,2026-05-02,suite,6046
Hotel Cancun 111,2026-03-14,standard,5542
Hotel Cancun 111,2026-02-06,doble,5156
Hotel Cancun 111,2026-06-24,suite,5602
Hotel Paris 112,2026-07-05,standard,2992
Hotel Paris 112,2026-11-22,doble,2722
Hotel Paris 112,2026-06-29,suite,3364
Hotel Tokio 113,2026-10-09,standard,6314
Hotel Tokio 113,2026-07-27,doble,5924
Hotel Tokio 113,2026-01-31,suite,6303
Hotel Cusco 114,2026-06-22,standard,3587
Hotel Cusco 114,2026-06-15,doble,3804
Hotel Cusco 114,2026-09-04,suite,3415
Hotel Madrid 115,2026-07-08,standard,3726
Hotel Madrid 115,2026-05-05,doble,3639
Hotel Madrid 115,2026-05-01,suite,3168
Hotel Los Cabos 116,2026-03-19,standard,7478
Hotel Los Cabos 116,2026-04-16,doble,7347
Hotel Los Cabos 116,2026-08-21,suite,7754
Hotel Bariloche 117,2026-08-17,standard,4475
Hotel Bariloche 117,2026-10-19,doble,4860
Hotel Bariloche 117,2026-06-04,suite,5021
Hotel Roma 118,2026-03-28,standard,6550
Hotel Roma 118,2026-02-03,doble,6097
Hotel Roma 118,2026-06-04,suite,6687
Hotel Bangkok 119,2026-06-07,standard,6247
Hotel Bangkok 119,2026-10-20,doble,6553
Hotel Bangkok 119,2026-06-24,suite,6064
Hotel Vancouver 120,2026-04-08,standard,4265
Hotel Vancouver 120,2026-02-10,doble,4266
Hotel Vancouver 120,2026-04-02,suite,3979
