activity_id,activity_name,destination_id,destination_name,category,price
A040,Senderismo Vancouver 040,D010,Vancouver 040,naturaleza,882
A041,Clase de cocina Cancun 041,D001,Cancun 041,playa,1749
A042,Paseo en yate Paris 042,D002,Paris 042,ciudad,835
A043,Ruta historica Tokio 043,D003,Tokio 043,ciudad,1286
A044,Mercado local Cusco 044,D004,Cusco 044,montana,812
A045,Mirador Madrid 045,D005,Madrid 045,ciudad,2165
A046,Tour fotografico Los Cabos 046,D006,Los Cabos 046,playa,1149
A047,Cata regional Bariloche 047,D007,Bariloche 047,montana,635
A048,Bicicleta Roma 048,D008,Roma 048,ciudad,1881
A049,Snorkel Bangkok 049,D009,Bangkok 049,ciudad,2245
A050,Museo Vancouver 050,D010,Vancouver 050,naturaleza,916
A051,Tour urbano Cancun 051,D001,Cancun 051,playa,1166
A052,Senderismo Paris 052,D002,Paris 052,ciudad,911
A053,Clase de cocina Tokio 053,D003,Tokio 053,ciudad,2017
A054,Paseo en yate Cusco 054,D004,Cusco 054,montana,2361
A055,Ruta historica Madrid 055,D005,Madrid 055,ciudad,1904
A056,Mercado local Los Cabos 056,D006,Los Cabos 056,playa,1639
A057,Mirador Bariloche 057,D007,Bariloche 057,montana,1975
A058,Tour fotografico Roma 058,D008,Roma 058,ciudad,1051
A059,Cata regional Bangkok 059,D009,Bangkok 059,ciudad,1710
A060,Bicicleta Vancouver 060,D010,Vancouver 060,naturaleza,1554
A061,Snorkel Cancun 061,D001,Cancun 061,playa,627
A062,Museo Paris 062,D002,Paris 062,ciudad,1748
A063,Tour urbano Tokio 063,D003,Tokio 063,ciudad,329
A064,Senderismo Cusco 064,D004,Cusco 064,montana,1634
A065,Clase de cocina Madrid 065,D005,Madrid 065,ciudad,2128
A066,Paseo en yate Los Cabos 066,D006,Los Cabos 066,playa,2054
A067,Ruta historica Bariloche 067,D007,Bariloche 067,montana,324
A068,Mercado local Roma 068,D008,Roma 068,ciudad,1824
A069,Mirador Bangkok 069,D009,Bangkok 069,ciudad,1607
A070,Tour fotografico Vancouver 070,D010,Vancouver 070,naturaleza,2369
A071,Cata regional Cancun 071,D001,Cancun 071,playa,1460
A072,Bicicleta Paris 072,D002,Paris 072,ciudad,2348
A073,Snorkel Tokio 073,D003,Tokio 073,ciudad,513
A074,Museo Cusco 074,D004,Cusco 074,montana,712
A075,Tour urbano Madrid 075,D005,Madrid 075,ciudad,1186
A076,Senderismo Los Cabos 076,D006,Los Cabos 076,playa,679
A077,Clase de cocina Bariloche 077,D007,Bariloche 077,montana,594
A078,Paseo en yate Roma 078,D008,Roma 078,ciudad,1337
A079,Ruta historica Bangkok 079,D009,Bangkok 079,ciudad,1363
A080,Mercado local Vancouver 080,D010,Vancouver 080,naturaleza,412
A081,Mirador Cancun 081,D001,Cancun 081,playa,993
A082,Tour fotografico Paris 082,D002,Paris 082,ciudad,1357
A083,Cata regional Tokio 083,D003,Tokio 083,ciudad,780
A084,Bicicleta Cusco 084,D004,Cusco 084,montana,1979
A085,Snorkel Madrid 085,D005,Madrid 085,ciudad,1309
A086,Museo Los Cabos 086,D006,Los Cabos 086,playa,1912
A087,Tour urbano Bariloche 087,D007,Bariloche 087,montana,861
A088,Senderismo Roma 088,D008,Roma 088,ciudad,2447
A089,Clase de cocina Bangkok 089,D009,Bangkok 089,ciudad,2358
A090,Paseo en yate Vancouver 090,D010,Vancouver 090,naturaleza,2275
A091,Ruta historica Cancun 091,D001,Cancun 091,playa,1589
A092,Mercado local Paris 092,D002,Paris 092,ciudad,616
A093,Mirador Tokio 093,D003,Tokio 093,ciudad,1393
A094,Tour fotografico Cusco 094,D004,Cusco 094,montana,485
A095,Cata regional Madrid 095,D005,Madrid 095,ciudad,1000
A096,Bicicleta Los Cabos 096,D006,Los Cabos 096,playa,1992
A097,Snorkel Bariloche 097,D007,Bariloche 097,montana,546
A098,Museo Roma 098,D008,Roma 098,ciudad,1351
A099,Tour urbano Bangkok 099,D009,Bangkok 099,ciudad,318
A100,Senderismo Vancouver 100,D010,Vancouver 100,naturaleza,612
A101,Clase de cocina Cancun 101,D001,Cancun 101,playa,1317
A102,Paseo en yate Paris 102,D002,Paris 102,ciudad,593
A103,Ruta historica Tokio 103,D003,Tokio 103,ciudad,1160
A104,Mercado local Cusco 104,D004,Cusco 104,montana,522
A105,Mirador Madrid 105,D005,Madrid 105,ciudad,1333
A106,Tour fotografico Los Cabos 106,D006,Los Cabos 106,playa,748
A107,Cata regional Bariloche 107,D007,Bariloche 107,montana,2108
A108,Bicicleta Roma 108,D008,Roma 108,ciudad,297
A109,Snorkel Bangkok 109,D009,Bangkok 109,ciudad,1639
A110,Museo Vancouver 110,D010,Vancouver 110,naturaleza,1961
A111,Tour urbano Cancun 111,D001,Cancun 111,playa,1347
A112,Senderismo Paris 112,D002,Paris 112,ciudad,779
A113,Clase de cocina Tokio 113,D003,Tokio 113,ciudad,426
A114,Paseo en yate Cusco 114,D004,Cusco 114,montana,2408
A115,Ruta historica Madrid 115,D005,Madrid 115,ciudad,1226
A116,Mercado local Los Cabos 116,D006,Los Cabos 116,playa,698
A117,Mirador Bariloche 117,D007,Bariloche 117,montana,911
A118,Tour fotografico Roma 118,D008,Roma 118,ciudad,1322
A119,Cata regional Bangkok 119,D009,Bangkok 119,ciudad,456
A120,Bicicleta Vancouver 120,D010,Vancouver 120,naturaleza,991
